Format, Traqmate Trackvision, V2
Track, VMP
Vehicle, Peter's DSP BMW
Driver, Peter Florance
Starting Date, 06/11/2011
Starting Time, 18:36:59.751
Sample Rate (samps/sec), 20
Duration (secs),    565.750
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap 
0,67023251,1661,3.800000,37.166157,-77.524144,1.583243,0.135581,164,58.000000,0.000000,0.000000,0.000000,-0.403466,79.957829,0.094828,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.850000,37.166157,-77.524144,1.595760,0.162340,164,58.000000,0.000000,0.000000,0.000000,-0.507463,79.957829,0.096552,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.900000,37.166157,-77.524144,1.599598,0.199318,164,58.000000,0.000000,0.000000,0.000000,-0.613352,79.957829,0.101724,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.950000,37.166157,-77.524144,1.592429,0.243691,164,58.000000,0.000000,0.000000,0.000000,-0.724913,79.957829,0.103448,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67023751,1661,4.000000,37.166158,-77.524144,1.836757,0.146369,164,58.000000,0.000000,0.000000,0.000000,0.381546,78.732950,0.094828,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.050000,37.166158,-77.524144,1.851687,0.169976,164,58.000000,0.000000,0.000000,0.000000,0.277548,78.732950,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.100000,37.166158,-77.524144,1.861226,0.187885,164,58.000000,0.000000,0.000000,0.000000,0.167877,78.732950,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.150000,37.166158,-77.524144,1.861312,0.200087,164,58.000000,0.000000,0.000000,0.000000,0.056316,78.732950,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.200000,37.166158,-77.524144,1.861460,0.196277,164,58.000000,0.000000,0.000000,0.000000,-0.051464,78.732950,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.250000,37.166158,-77.524144,1.862353,0.199588,164,58.000000,0.000000,0.000000,0.000000,-0.159243,78.732950,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.300000,37.166158,-77.524144,1.871951,0.206037,164,58.000000,0.000000,0.000000,0.000000,-0.267023,78.732950,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.350000,37.166158,-77.524144,1.866377,0.224737,164,58.000000,0.000000,0.000000,0.000000,-0.378584,78.732950,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.400000,37.166158,-77.524144,1.844322,0.241521,164,58.000000,0.000000,0.000000,0.000000,-0.486364,78.732950,0.098276,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023751,1661,4.450000,37.166158,-77.524144,1.810088,0.251385,164,58.000000,0.000000,0.000000,0.000000,-0.594143,78.732950,0.094828,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67024251,1661,4.500000,37.166158,-77.524144,2.081658,0.195158,164,58.000000,0.000000,0.000000,0.000000,0.340519,62.020170,0.101724,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.550000,37.166158,-77.524144,2.084921,0.219856,164,58.000000,0.000000,0.000000,0.000000,0.228957,62.020170,0.101724,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.600000,37.166158,-77.524144,2.085495,0.236564,164,58.000000,0.000000,0.000000,0.000000,0.117396,62.020170,0.094828,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.650000,37.166158,-77.524144,2.078718,0.241631,164,58.000000,0.000000,0.000000,0.000000,0.013398,62.020170,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.700000,37.166158,-77.524144,2.078637,0.241599,164,58.000000,0.000000,0.000000,0.000000,-0.094382,62.020170,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.750000,37.166158,-77.524144,2.084998,0.239403,164,58.000000,0.000000,0.000000,0.000000,-0.202161,62.020170,0.100000,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.800000,37.166158,-77.524144,2.076817,0.251648,164,58.000000,0.000000,0.000000,0.000000,-0.311832,62.020170,0.098276,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.850000,37.166158,-77.524144,2.054037,0.250442,164,58.000000,0.000000,0.000000,0.000000,-0.419611,62.020170,0.096552,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.900000,37.166158,-77.524144,2.027734,0.234553,164,58.000000,0.000000,0.000000,0.000000,-0.525500,62.020170,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024251,1661,4.950000,37.166158,-77.524144,2.002850,0.205170,164,58.000000,0.000000,0.000000,0.000000,-0.635170,62.020170,0.098276,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67024751,1661,5.000000,37.166159,-77.524144,2.265334,0.292738,164,58.000000,0.000000,0.000000,0.000000,0.283618,71.143785,0.094828,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.050000,37.166159,-77.524144,2.267399,0.313362,164,58.000000,0.000000,0.000000,0.000000,0.179620,71.143785,0.093103,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.100000,37.166159,-77.524144,2.265407,0.326285,164,58.000000,0.000000,0.000000,0.000000,0.077513,71.143785,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.150000,37.166159,-77.524144,2.260547,0.323815,164,58.000000,0.000000,0.000000,0.000000,-0.030266,71.143785,0.100000,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.200000,37.166159,-77.524144,2.259332,0.322715,164,58.000000,0.000000,0.000000,0.000000,-0.139937,71.143785,0.100000,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.250000,37.166159,-77.524144,2.254504,0.331609,164,58.000000,0.000000,0.000000,0.000000,-0.249607,71.143785,0.100000,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.300000,37.166159,-77.524144,2.239874,0.320718,164,58.000000,0.000000,0.000000,0.000000,-0.359278,71.143785,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.350000,37.166159,-77.524144,2.232192,0.295567,164,58.000000,0.000000,0.000000,0.000000,-0.468948,71.143785,0.103448,0.063758,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.400000,37.166159,-77.524144,2.237567,0.261632,164,58.000000,0.000000,0.000000,0.000000,-0.582400,71.143785,0.101724,0.078859,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67024751,1661,5.450000,37.166159,-77.524144,2.250528,0.220978,164,58.000000,0.000000,0.000000,0.000000,-0.693962,71.143785,0.103448,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
